attribute	symbol	geneid
NM_003461	ZYX	7791
NM_006336	ZYG	_
X98261	ZWINTAS	_
NM_007057	ZWINT	11130
NM_004724	ZW10	9183
NM_006008	ZRK	_
X98260	ZRF1	_
NM_007009	ZPBP	11055
NM_021186	ZP4	57829
NM_007155	ZP3A	_
Contig41883_RC	ZP3A	_
NM_003460	ZP2	7783
NM_014596	ZNRD1	ENSG00000204623
AF024616	ZNRD1	ENSG00000204623
Contig672_RC	ZNFN2A1	_
NM_012481	ZNFN1A3	_
NM_006060	ZNFN1A1	_
NM_003430	ZNF91	7644
NM_003418	ZNF9	_
NM_003429	ZNF85	7639
NM_003428	ZNF84	7637
NM_018300	ZNF83	55769
NM_007136	ZNF80	7634
X65232	ZNF79	7633
NM_003427	ZNF76	7629
S67970	ZNF75	_
Contig1428_RC	ZNF75	_
NM_003426	ZNF74	7625
NM_012480	ZNF73	7624
NM_003416	ZNF7	7553
X56465	ZNF6	_
NM_006977	ZNF46	_
NM_003425	ZNF45	7596
X16281	ZNF44	51710
NM_003423	ZNF43	7594
NM_003422	ZNF42	_
X60155	ZNF41	7592
X07290	ZNF38	_
X69115	ZNF37A	7587
NM_018555	ZNF361	_
U09848	ZNF36	_
AK001814	ZNF36	_
NM_003420	ZNF35	7584
U69645	ZNF32	7580
NM_018683	ZNF313	_
NM_020657	ZNF304	57343
AF155100	ZNF3	7551
NM_005453	ZNF297	_
AB033053	ZNF295	150142
AB018257	ZNF294	_
NM_015642	ZNF288	_
Contig9518_RC	ZNF287	57336
NM_020653	ZNF287	57336
NM_020652	ZNF286	_
D30612	ZNF282	8427
NM_012482	ZNF281	23528
NM_014323	ZNF278	_
AF119256	ZNF278	_
Contig50337_RC	ZNF278	_
Contig55421_RC	ZNF277	11179
Contig58446_RC	ZNF275	10838
NM_020636	ZNF275	10838
NM_016324	ZNF274	10782
NM_016325	ZNF274	10782
X78932	ZNF273	10793
X78931	ZNF272	_
X78926	ZNF268	10795
NM_003414	ZNF267	10308
AF220492	ZNF267	10308
X78924	ZNF266	10781
NM_005455	ZNF265	_
NM_003417	ZNF264	9422
NM_005741	ZNF263	10127
NM_005095	ZNF262	_
Contig65995_RC	ZNF262	_
NM_005096	ZNF261	_
AK000762	ZNF26	7574
NM_003904	ZNF259	8882
NM_007167	ZNF258	_
NM_005773	ZNF256	10172
NM_005774	ZNF255	_
NM_004876	ZNF254	9534
NM_006965	ZNF24	7572
NM_005674	ZNF239	8187
NM_006352	ZNF238	10472
NM_014242	ZNF237	_
NM_007345	ZNF236	7776
AF085243	ZNF236	7776
NM_014519	ZNF232	7775
NM_006300	ZNF230	7773
AL080123	ZNF23	7571
NM_013380	ZNF228	_
NM_016444	ZNF226	7769
NM_013362	ZNF225	7768
NM_013398	ZNF224	7767
NM_013361	ZNF223	7766
NM_013360	ZNF222	7673
NM_013359	ZNF221	7638
NM_006766	ZNF220	_
NM_006963	ZNF22	7570
NM_016423	ZNF219	51222
NM_006526	ZNF217	7764
NM_006007	ZNF216	_
NM_013250	ZNF215	7762
NM_013249	ZNF214	7761
AF017433	ZNF213	7760
NM_012256	ZNF212	7988
NM_006385	ZNF211	10520
NM_007153	ZNF208	7757
NM_003457	ZNF207	7756
NM_003455	ZNF202	7753
NM_003454	ZNF200	7752
AL080125	ZNF20	100529855
NM_003453	ZNF198	_
AF011573	ZNF197	ENSG00000233509
NM_007152	ZNF195	7748
NM_006299	ZNF193	7746
NM_006298	ZNF192	7745
AF025771	ZNF189	7743
NM_003452	ZNF189	7743
Z11773	ZNF187	7741
NM_007150	ZNF185	7739
U66561	ZNF184	7738
NM_006978	ZNF183	_
NM_013256	ZNF180	7733
AB026054	ZNF179	_
NM_003451	ZNF177	7730
NM_007147	ZNF175	7728
NM_003450	ZNF174	7727
NM_003449	ZNF173	_
NM_003447	ZNF165	7718
NM_004630	ZNF162	_
NM_007146	ZNF161	_
Contig678_RC	ZNF161	_
AF244088	ZNF16	7564
NM_003446	ZNF157	7712
NM_003445	ZNF155	7711
U20648	ZNF154	7710
NM_003443	ZNF151	_
AJ236885	ZNF148	7707
NM_005082	ZNF147	_
NM_007145	ZNF146	7705
NM_006006	ZNF145	_
NM_007144	ZNF144	_
NM_003442	ZNF143	7702
NM_005081	ZNF142	7701
NM_003441	ZNF141	7700
NM_003440	ZNF140	7699
NM_016266	ZNF14	7561
NM_003437	ZNF136	7695
NM_003436	ZNF135	7694
NM_003435	ZNF134	7693
NM_003434	ZNF133	7692
NM_003433	ZNF132	7691
U09410	ZNF131	7690
Contig44631_RC	ZNF131	7690
NM_003431	ZNF124	7678
NM_003419	ZNF10	7556
NM_014415	ZNF-U69274	_
Contig38905_RC	ZNF-U69274	_
Contig25839_RC	ZNF-kaiso	_
NM_006777	ZNF-kaiso	_
NM_005857	ZMPSTE24	10269
NM_005815	ZK1	_
NM_014437	ZIRTL	_
NM_014579	ZIP2	_
AF070651	zinc finger protein 4	_
NM_013403	ZIN	_
NM_015363	ZIM2	23619
NM_006626	ZID	_
NM_003413	ZIC3	7547
NM_007129	ZIC2	7546
NM_003412	ZIC1	7545
NM_007222	ZHX1	11244
NM_003411	ZFY	ENSG00000233070
NM_003410	ZFX	7543
NM_006782	ZFPL1	7542
AB023232	ZFP95	_
Contig32550_RC	ZFP93	_
NM_003408	ZFP37	7539
NM_003407	ZFP36	7538
NM_016422	ZFP26	_
NM_003409	ZFP161	7541
Contig3794_RC	ZFP106	64397
Contig41864_RC	ZFP106	64397
NM_005667	ZFP103	_
NM_018651	ZFP	_
NM_014795	ZFHX1B	_
NM_016220	ZFD25	_
NM_014347	ZF5128	_
U71601	zf47	_
AL110236	ZF	_
NM_021212	ZF	_
Contig48491_RC	ZBRK1	_
AB014513	ZASP	_
L05148	ZAP70	7535
L40396	ZAP3	_
Contig4237_RC	ZAP128	_
NM_016653	ZAK	51776
NM_007268	Z39IG	_
NM_003403	YY1	7528
NM_003406	YWHAZ	7534
NM_006826	YWHAQ	10971
NM_003405	YWHAH	7533
NM_012479	YWHAG	7532
NM_006761	YWHAE	7531
NM_003404	YWHAB	7529
NM_014886	YR-29	_
NM_014263	YME1L1	10730
NM_006555	YKT6	10652
Contig5274_RC	YG81	_
NM_017447	YG81	_
Contig39667_RC	YG81	_
NM_014297	YF13H12	_
NM_005433	YES1	7525
U82319	YDD19	_
NM_003680	YARS	8565
NM_006106	YAP	_
NM_005748	YAF2	10138
NM_005108	XYLB	9942
NM_012255	XRN2	22803
M30938	XRCC5	7520
NM_021141	XRCC5	7520
NM_003401	XRCC4	7518
NM_005432	XRCC3	7517
NM_006297	XRCC1	7515
NM_004736	XPR1	9213
NM_007235	XPOT	11260
NM_003400	XPO1	7514
NM_006523	XPNPEPL	_
NM_003399	XPNPEP2	7512
Contig57916_RC	XPC	7508
NM_004628	XPC	7508
NM_000380	XPA	7507
NM_014357	XP5	_
AF005082	xp33	_
AF005081	xp32	_
NM_006691	XLKD1	_
NM_004677	XKRY	9082
Z32684	XK	7504
NM_021083	XK	7504
NM_006402	XIP	_
Z48511	XG	7499
NM_000379	XDH	7498
NM_005080	XBP1	7494
NM_006462	XAP4	_
NM_020411	XAGE-1	_
Contig42011_RC	X123	_
NM_007014	WWP2	11060
Contig53253_RC	WWP2	11060
NM_016373	WWOX	51741
NM_018560	WWOX	51741
X51630	WT1	51352
NM_004843	WSX-1	_
NM_006571	WS-3	_
NM_000553	WRN	7486
NM_004627	WRB	7485
NM_003393	WNT8B	7479
NM_004625	WNT7A	7476
Contig40434_RC	WNT5A	ENSG00000244586
NM_003392	WNT5A	ENSG00000244586
NM_004185	WNT2B	7482
NM_003391	WNT2	7472
NM_016087	WNT16	51384
NM_004626	WNT11	7481
NM_003394	WNT10B	7480
Contig50202_RC	WNT10A	80326
NM_005430	WNT1	7471
NM_015855	WIT-1	_
NM_003880	WISP3	8838
NM_003881	WISP2	8839
NM_003882	WISP1	8840
NM_007191	WIF-1	_
NM_005663	WHSC2	7469
NM_017778	WHSC1L1	54904
AB029013	WHSC1	7468
NM_007331	WHSC1	7468
NM_003593	WHN	_
AL137563	WHITE2	_
NM_006005	WFS1	7466
Contig55111_RC	WFDC1	58189
NM_021197	WFDC1	58189
NM_003390	WEE1	7465
AK002177	WDR9	_
NM_017818	WDR8	_
AB011113	WDR7	23335
NM_018031	WDR6	11180
AL133589	WDR6	11180
AK000552	WDR5	11091
NM_018669	WDR4	10785
NM_006784	WDR3	10885
NM_017883	WDR13	64743
NM_018256	WDR12	55759
NM_018262	WDR10	_
NM_017491	WDR1	9948
NM_005112	WDR1	9948
NM_014146	WBSCR5	_
NM_015977	WBSCR14	_
AF156603	WBSCR14	_
Contig51917_RC	WBSCR14	_
D26068	WBSCR1	_
NM_007187	WBP4	11193
U79458	WBP2	23558
U79457	WBP1	23559
NM_003387	WASPIP	_
NM_003941	WASL	8976
NM_006646	WASF3	10810
AB026542	WASF2	10163
NM_003931	WASF1	8936
NM_000377	WAS	ENSG00000168746
NM_015836	WARS2	ENSG00000224238
NM_004184	WARS	7453
NM_000552	VWF	7450
X03168	VTN	7448
NM_000638	VTN	7448
Contig61651_RC	VTN	7448
NM_006370	VTI2	_
NM_014588	VSX1	30813
NM_003385	VSNL1	7447
NM_016557	VSHK1	_
NM_007063	VRP	_
NM_015930	VRL-1	_
AK001896	VRL-1	_
NM_016113	VRL	_
NM_006296	VRK2	7444
NM_003384	VRK1	7443
NM_013266	VR22	_
Contig40177_RC	VR20	_
NM_018727	VR1	_
Contig47411_RC	VR1	_
NM_007259	VPS45B	_
NM_007258	VPS45A	_
NM_014396	VPS41	27072
NM_013245	VPS4	_
NM_018206	VPS35	55737
NM_018668	VPS33B	26276
Contig50709_RC	VPS33A	65082
NM_016226	VPS29	51699
NM_004896	VPS26	_
AB040908	VPS18	57617
NM_013378	VPREB3	29802
NM_007128	VPREB1	7441
NM_004665	VNN2	ENSG00000234484
NM_004666	VNN1	8876
NM_004183	VMD2	_
NM_003383	VLDLR	7436
AF064255	VLCS-H2	_
AF064254	VLCS-H1	_
U96291	VkII-A23	_
NM_018693	VIT1	_
AL117620	VIT1	_
NM_003382	VIPR2	7434
NM_004624	VIPR1	7433
NM_003381	VIP	7432
NM_003380	VIM	7431
Contig44757_RC	VIM	7431
NM_015873	VILL	50853
NM_003379	VIL2	_
NM_007127	VIL1	7429
Contig571_RC	VI	_
NM_013443	VI	_
NM_000551	VHL	7428
AF013620	VH4	_
AF015124	Vh26	_
AF015128	Vh26	_
NM_003378	VGF	7425
NM_004664	VELI1	_
NM_005429	VEGFC	7424
NM_003377	VEGFB	7423
NM_003376	VEGF	_
Contig52419_RC	VE-JAM	_
NM_006472	VDUP1	_
NM_000376	VDR	7421
NM_005662	VDAC3	7419
NM_003375	VDAC2	7417
NM_003374	VDAC1	7416
NM_004678	VCY2	_
NM_004679	VCY	9084
NM_016379	VCX-8r	_
NM_013452	VCX	26609
NM_007126	VCP	7415
NM_003373	VCL	7414
NM_014000	VCL	7414
NM_001078	VCAM1	7412
NM_003372	VBP1	7411
NM_012476	VAX2	25806
NM_006113	VAV3	10451
NM_003371	VAV2	7410
NM_005428	VAV1	7409
NM_006373	VATI	_
AK001155	VATD	_
NM_015994	VATD	_
NM_003370	VASP	7408
NM_019039	VASA	_
NM_006295	VARS2	57176
X95660	variable region of IgA	_
X93006	variable region	_
Contig41692_RC	VAPB	9217
NM_004738	VAPB	9217
NM_003574	VAPA	9218
AB033041	VANGL2	57216
NM_003761	VAMP8	8673
NM_006634	VAMP5	10791
NM_003762	VAMP4	8674
NM_004781	VAMP3	9341
NM_014232	VAMP2	6844
NM_016830	VAMP1	6843
NM_014231	VAMP1	6843
