local_id_attribute	symbol	geneid
1_1007_s_at	DDR1	780
2_1053_at	RFC2	5982
3_117_at	HSPA6	3310
4_121_at	PAX8	7849
5_1255_g_at	GUCA1A	2978
6_1294_at	UBA7	7318
7_1316_at	THRA	7067
8_1320_at	PTPN21	11099
9_1405_i_at	CCL5	6352
10_1431_at	CYP2E1	1571
11_1438_at	EPHB3	2049
12_1487_at	ESRRA	2101
13_1494_f_at	CYP2A6	1548
14_1598_g_at	GAS6	2621
15_160020_at	MMP14	4323
16_1729_at	TRADD	8717
17_1773_at	FNTB	2342
18_177_at	PLD1	5337
19_179_at	PMS2L11	441263
20_1861_at	BAD	572
21_200000_s_at	PRPF8	10594
22_200001_at	CAPNS1	826
23_200002_at	RPL35	11224
24_200003_s_at	RPL28	6158
25_200004_at	EIF4G2	1982
26_200005_at	EIF3D	8664
27_200006_at	PARK7	11315
28_200007_at	SRP14	6727
29_200008_s_at	GDI2	2665
30_200009_at	GDI2	2665
31_200010_at	RPL11	6135
32_200011_s_at	ARF3	377
33_200012_x_at	RPL21	6144
34_200013_at	RPL24	6152
35_200014_s_at	HNRNPC	3183
36_200015_s_at	2-Sep	4735
37_200016_x_at	HNRNPA1	3178
38_200017_at	RPS27A	6233
39_200018_at	RPS13	6207
40_200019_s_at	FAU	2197
41_200020_at	TARDBP	23435
42_200021_at	CFL1	1072
43_200022_at	RPL18	6141
44_200023_s_at	EIF3F	8665
45_200024_at	RPS5	6193
46_200025_s_at	RPL27	6155
47_200026_at	RPL34	6164
48_200027_at	NARS	4677
49_200028_s_at	STARD7	56910
50_200029_at	RPL19	6143
51_200030_s_at	SLC25A3	5250
52_200031_s_at	RPS11	6205
53_200032_s_at	RPL9	6133
54_200033_at	DDX5	1655
55_200034_s_at	RPL6	6128
56_200035_at	DULLARD	23399
57_200036_s_at	RPL10A	4736
58_200037_s_at	CBX3	11335
59_200038_s_at	RPL17	6139
60_200039_s_at	PSMB2	5690
61_200040_at	KHDRBS1	10657
62_200041_s_at	BAT1	7919
63_200042_at	C22orf28	51493
64_200043_at	ERH	2079
65_200044_at	SFRS9	8683
66_200045_at	ABCF1	23
67_200046_at	DAD1	1603
68_200047_s_at	YY1	7528
69_200048_s_at	JTB	10899
70_200049_at	MYST2	11143
71_200050_at	ZNF146	7705
72_200051_at	SART1	9092
73_200052_s_at	ILF2	3608
74_200053_at	SPAG7	9552
75_200054_at	ZNF259	8882
76_200055_at	TAF10	6881
77_200056_s_at	C1D	10438
78_200057_s_at	NONO	4841
79_200058_s_at	SNRNP200	23020
80_200059_s_at	RHOA	387
81_200060_s_at	RNPS1	10921
82_200061_s_at	RPS24	6229
83_200062_s_at	RPL30	6156
84_200063_s_at	NPM1	4869
85_200064_at	HSP90AB1	3326
86_200065_s_at	ARF1	375
87_200066_at	IK	3550
88_200067_x_at	SNX3	8724
89_200068_s_at	CANX	821
90_200069_at	SART3	9733
91_200070_at	C2orf24	27013
92_200071_at	SMNDC1	10285
93_200072_s_at	HNRNPM	4670
94_200073_s_at	HNRNPD	3184
95_200074_s_at	RPL14	9045
96_200075_s_at	GUK1	2987
97_200076_s_at	C19orf50	79036
98_200077_s_at	OAZ1	4946
99_200078_s_at	ATP6V0B	533
100_200079_s_at	KARS	3735
101_200080_s_at	NA	NA
102_200081_s_at	RPS6	6194
103_200082_s_at	RPS7	6201
104_200083_at	USP22	23326
105_200084_at	C11orf58	10944
106_200085_s_at	TCEB2	6923
107_200086_s_at	COX4I1	1327
108_200087_s_at	TMED2	10959
109_200088_x_at	RPL12	6136
110_200089_s_at	RPL4	6124
111_200090_at	FNTA	2339
112_200091_s_at	RPS25	6230
113_200092_s_at	RPL37	6167
114_200093_s_at	HINT1	3094
115_200094_s_at	EEF2	1938
116_200095_x_at	RPS10	6204
117_200096_s_at	ATP6V0E1	8992
118_200097_s_at	HNRNPK	3190
119_200098_s_at	ANAPC5	51433
120_200099_s_at	RPS3A	6189
121_200593_s_at	HNRNPU	3192
122_200594_x_at	HNRNPU	3192
123_200595_s_at	EIF3A	8661
124_200596_s_at	EIF3A	8661
125_200597_at	EIF3A	8661
126_200598_s_at	HSP90B1	7184
127_200599_s_at	HSP90B1	7184
128_200600_at	MSN	4478
129_200601_at	ACTN4	81
130_200602_at	APP	351
131_200603_at	PRKAR1A	5573
132_200604_s_at	PRKAR1A	5573
133_200605_s_at	PRKAR1A	5573
134_200606_at	DSP	1832
135_200607_s_at	RAD21	5885
136_200608_s_at	RAD21	5885
137_200609_s_at	WDR1	9948
138_200610_s_at	NCL	4691
